OTU	Size	Taxonomy
Otu0040	901	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Mrakiaceae(100);g__Itersonilia(100);s__Itersonilia_pannonica(100);Itersonilia_pannonica(100);
Otu0041	897	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Myxotrichaceae(100);f__Myxotrichaceae_unclassified(100);f__Myxotrichaceae_unclassified(100);f__Myxotrichaceae_unclassified(100);
Otu0042	886	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiaceae(100);g__Pragmopora(100);g__Pragmopora_unclassified(100);g__Pragmopora_unclassified(100);
Otu0043	885	k__Fungi(100);p__Ascomycota(100);c__Pezizomycetes(100);o__Pezizales(100);f__Ascobolaceae(100);g__unclassified_Ascobolaceae(100);s__Ascobolaceae_sp(100);Ascobolaceae(100);
Otu0044	882	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Periconiaceae(100);g__Periconia(100);s__Periconia_elaeidis(100);Periconia_elaeidis(100);
Otu0045	833	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Sporidiobolales(100);f__Sporidiobolaceae(100);g__Rhodosporidiobolus(100);s__Rhodosporidiobolus_colostri(100);Rhodosporidiobolus_colostri(100);
Otu0046	831	k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__Erythrobasidiales(100);f__Erythrobasidiaceae(100);g__Erythrobasidium(100);s__Erythrobasidium_hasegawianum(100);Erythrobasidium_hasegawianum(100);
Otu0047	790	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Sclerotiniaceae(100);g__Botrytis(73);s__Botrytis_cinerea(61);Botrytis_cinerea(61);
Otu0048	786	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Dioszegia(100);s__Dioszegia_aurantiaca(100);Dioszegia_aurantiaca(100);
Otu0049	769	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);o__Chaetothyriales_unclassified(97);o__Chaetothyriales_unclassified(97);o__Chaetothyriales_unclassified(97);o__Chaetothyriales_unclassified(97);
Otu0050	743	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0051	738	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Sclerotiniaceae(100);g__Ciboria(99);s__Ciboria_amentacea(92);Ciboria_amentacea(92);
Otu0052	727	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Genolevuria(100);s__Genolevuria_sp(100);Genolevuria(100);
Otu0053	716	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Heterocephalacria(100);s__Heterocephalacria_sp(100);Heterocephalacria(100);
