OTU	Size	Taxonomy
Otu0079	415	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(80);Bacillus(73);
Otu0080	410	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Microbacteriaceae(100);Microbacteriaceae_unclassified(100);
Otu0081	391	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0082	387	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(100);Enterobacterales_unclassified(100);
Otu0083	385	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacteriaceae_unclassified(100);
Otu0084	380	Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu0085	366	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(95);
Otu0086	357	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
Otu0087	335	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(86);
Otu0088	324	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Rhizobiaceae_unclassified(92);
Otu0089	311	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(94);
Otu0090	310	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(90);Bacillaceae(66);Bacillus(66);
Otu0091	307	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu0092	305	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Commensalibacter(100);
Otu0093	303	Bacteria(100);Acidobacteriota(100);Acidobacteriae(100);Acidobacteriales(100);Acidobacteriaceae_(Subgroup_1)(100);Granulicella(93);
Otu0094	299	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Erwiniaceae(93);Pantoea(78);
Otu0095	299	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacteriaceae_unclassified(68);
Otu0096	299	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(93);Rhizobiales_unclassified(93);
Otu0097	296	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);uncultured(89);
Otu0098	293	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(52);Alphaproteobacteria_unclassified(52);Alphaproteobacteria_unclassified(52);
Otu0099	290	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(59);
Otu0100	287	Bacteria(100);Myxococcota(76);Myxococcia(75);Myxococcales(75);Myxococcaceae(75);P3OB-42(75);
Otu0101	283	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Microbacteriaceae(100);Microbacterium(61);
Otu0102	278	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Xanthobacteraceae(100);Xanthobacteraceae_unclassified(72);
Otu0103	271	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rickettsiales(100);Anaplasmataceae(100);Wolbachia(100);
Otu0104	271	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(100);
Otu0105	271	Bacteria(100);Firmicutes(100);Bacilli(98);Bacillales(96);Planococcaceae(59);Planococcaceae_unclassified(59);
Otu0106	270	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Flavobacteriales(100);Weeksellaceae(100);Chryseobacterium(100);
Otu0107	268	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(98);Spirosomaceae(86);Dyadobacter(86);
Otu0108	266	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(82);Beijerinckiaceae_unclassified(59);
Otu0109	266	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(63);Acetobacteraceae(63);Acetobacteraceae_unclassified(63);
Otu0110	264	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Cytophagales_unclassified(100);Cytophagales_unclassified(100);
Otu0111	263	Bacteria(100);Proteobacteria(99);Alphaproteobacteria(99);Alphaproteobacteria_unclassified(54);Alphaproteobacteria_unclassified(54);Alphaproteobacteria_unclassified(54);
Otu0112	260	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(94);Burkholderiaceae_unclassified(94);
Otu0113	256	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Corynebacteriales(100);Nocardiaceae(100);Rhodococcus(100);
